amenity,lat,lon,name,category,amnt_id,neighbourhood
restaurant,49.283164978027344,-123.10353088378906,The Sardine Can,Food,32,Central Business District
ice_cream,49.28360366821289,-123.10368347167969,Soft Peaks Ice Cream,Food,33,Central Business District
bar,49.2841682434082,-123.10734558105469,131 Water Kitchen & Bar,Nightlife,34,Central Business District
restaurant,49.283424377441406,-123.10641479492188,Jules Bistro,Food,35,Central Business District
cafe,49.27310562133789,-123.1007308959961,Tim Hortons,Food,36,Central Business District
restaurant,49.28739547729492,-123.12883758544922,JoongWon,Food,37,West End
fast_food,49.286624908447266,-123.12825775146484,Chongqing on Robson,Food,38,West End
restaurant,49.28766632080078,-123.1292495727539,Stepho's,Food,39,West End
fast_food,49.286739349365234,-123.12841796875,A Taste of India,Food,40,West End
restaurant,49.28757095336914,-123.12911224365234,Hon's Wun-Tun House,Food,41,West End
restaurant,49.28737258911133,-123.12822723388672,miss KOREAN BBQ,Food,42,West End
restaurant,49.28715515136719,-123.12908172607422,Forage,Food,43,West End
restaurant,49.287044525146484,-123.12889862060547,Timber,Food,44,West End
restaurant,49.2874870300293,-123.12898254394531,Miko Sushi,Food,45,West End
restaurant,49.28756332397461,-123.12971496582031,Cora,Food,46,West End
cafe,49.28660202026367,-123.12821197509766,Chatime,Food,47,West End
fast_food,49.28656005859375,-123.12818145751953,Pok'e Time,Food,48,West End
cafe,49.28641891479492,-123.12723541259766,Abode,Food,49,West End
pub,49.28665542602539,-123.12749481201172,Shenanigans,Nightlife,50,West End
restaurant,49.262351989746094,-123.0894775390625,Hail Mary's,Food,51,Mount Pleasant
bicycle_rental,49.287193298339844,-123.11292266845703,Canada Place,Transportation,52,Central Business District
bicycle_rental,49.279659271240234,-123.11629486083984,Homer & Robson,Transportation,53,Central Business District
fast_food,49.265724182128906,-123.24309539794922,Red Burrito,Food,54,West Point Grey
fast_food,49.266109466552734,-123.2420883178711,Pita Pit,Food,55,West Point Grey
cafe,49.26601028442383,-123.2423324584961,Only U Cafe,Food,56,West Point Grey
bicycle_rental,49.28239440917969,-123.11858367919922,Granville & Georgia,Transportation,57,Central Business District
bicycle_rental,49.27804946899414,-123.10569763183594,Expo & Carrall,Transportation,58,Central Business District
bicycle_rental,49.27980041503906,-123.10792541503906,Keefer & Abbott,Transportation,59,Central Business District
bicycle_rental,49.26560974121094,-123.15253448486328,7th & Arbutus,Transportation,60,Kitsilano
bicycle_rental,49.265079498291016,-123.11943054199219,Heather & 7th,Transportation,61,Fairview
bicycle_rental,49.26826858520508,-123.14786529541016,Cypress & 4th,Transportation,62,Kitsilano
bicycle_rental,49.26421356201172,-123.1178207397461,8th & Ash,Transportation,63,Fairview
bicycle_rental,49.268924713134766,-123.11809539794922,Stamp's Landing,Transportation,64,Fairview
bicycle_rental,49.25876998901367,-123.11529541015625,14th & Cambie,Transportation,65,Fairview
bicycle_rental,49.257537841796875,-123.14847564697266,Cypress & 16th,Transportation,66,Kitsilano
bicycle_rental,49.263145446777344,-123.12413024902344,Laurel & Broadway,Transportation,67,Fairview
pub,49.26871109008789,-123.11863708496094,The Wicklow Pub,Nightlife,68,Fairview
bar,49.28214645385742,-123.07621002197266,Callister Tasting Room,Nightlife,69,Grandview-Woodland
bar,49.283363342285156,-123.07575225830078,Powell Brewery Tasting Room,Nightlife,70,Grandview-Woodland
bar,49.27249526977539,-123.07772827148438,Strange Fellows Tasting Room,Nightlife,71,Strathcona
bicycle_rental,49.28961181640625,-123.13214874267578,Cardero & Robson,Transportation,72,West End
bicycle_rental,49.291194915771484,-123.13521575927734,Robson & Denman,Transportation,73,West End
bicycle_rental,49.288143157958984,-123.13201904296875,Nicola & Robson,Transportation,74,West End
restaurant,49.28211975097656,-123.13365936279297,Ramen Koika,Food,75,West End
cafe,49.28147888183594,-123.13360595703125,Exile,Food,76,West End
pub,49.209442138671875,-123.11616516113281,Dublin Crossing Irish Pub,Nightlife,77,Marpole
bicycle_rental,49.28600311279297,-123.1166000366211,Hornby & Pender,Transportation,78,Central Business District
bicycle_rental,49.28268051147461,-123.10700225830078,Abbott & Cordova,Transportation,79,Central Business District
cafe,49.2873420715332,-123.11439514160156,Starbucks,Food,80,Central Business District
fast_food,49.28426742553711,-123.11975860595703,Smokehouse Sandwich Co,Food,81,Central Business District
bank,49.2469482421875,-123.18541717529297,Vancity,Business,82,Dunbar-Southlands
cafe,49.2387809753418,-123.03163146972656,Tim Hortons,Food,83,Renfrew-Collingwood
cafe,49.26413345336914,-123.18167114257812,Essentia Cafe,Food,84,Kitsilano
restaurant,49.26434326171875,-123.17572021484375,Deacon's Corner,Food,85,Kitsilano
cafe,49.26861572265625,-123.15877532958984,Starbucks,Food,86,Kitsilano
restaurant,49.28632736206055,-123.12561798095703,Kirin Mandarin Restaurant,Food,87,West End
restaurant,49.28599166870117,-123.12508392333984,Pink Elephant Thai,Food,88,West End
cafe,49.28590393066406,-123.12491607666016,Tim Hortons,Food,89,West End
fast_food,49.28605651855469,-123.12517547607422,A&W,Food,90,West End
fast_food,49.28608703613281,-123.12522888183594,Subway,Food,91,West End
restaurant,49.28525161743164,-123.12540435791016,Fantacity Karaoke,Food,92,West End
cafe,49.28761291503906,-123.11492156982422,Starbucks,Food,93,Central Business District
bank,49.263736724853516,-123.15555572509766,BlueShore Financial,Business,94,Kitsilano
bicycle_rental,49.28337860107422,-123.13104248046875,Bute & Comox,Transportation,95,West End
bicycle_rental,49.27385330200195,-123.11455535888672,Marinaside & Cooperage,Transportation,96,Central Business District
bicycle_rental,49.26060485839844,-123.1134262084961,12th & Yukon,Transportation,97,Mount Pleasant
bicycle_rental,49.2695426940918,-123.13783264160156,Anderson & 2nd,Transportation,98,Fairview
bicycle_rental,49.277496337890625,-123.1142349243164,Beatty & Robson,Transportation,99,Central Business District
bicycle_rental,49.27821350097656,-123.1186294555664,Homer & Smithe,Transportation,100,Central Business District
bicycle_rental,49.2761344909668,-123.11454772949219,Expo & Smithe,Transportation,101,Central Business District
bicycle_rental,49.27614974975586,-123.12389373779297,Richards & Davie,Transportation,102,Central Business District
bicycle_rental,49.27650451660156,-123.11890411376953,Nelson & Mainland,Transportation,103,Central Business District
pub,49.28420639038086,-123.10020446777344,Alibi Room,Nightlife,104,Central Business District
fast_food,49.263336181640625,-123.11441802978516,A&W,Food,105,Mount Pleasant
bank,49.26333999633789,-123.1140365600586,Coast Capital Savings CU,Business,106,Mount Pleasant
cafe,49.26309585571289,-123.11730194091797,Elysian Coffee Roasters,Food,107,Fairview
cafe,49.21299362182617,-123.14009857177734,Starbucks,Food,108,Marpole
place_of_worship,49.26252365112305,-123.19438171386719,Point Grey Inter-Mennonite Fellowship (PGIMF),Attraction,109,West Point Grey
cinema,49.312744140625,-123.08274841308594,Cineplex Cinemas Esplanade,Leisure,110,Strathcona
restaurant,49.26438903808594,-123.06951141357422,Cabrito - Tapas Bebidas,Food,111,Grandview-Woodland
restaurant,49.28486633300781,-123.12566375732422,Spicy 6,Food,112,West End
cafe,49.24922561645508,-123.10077667236328,Caffe Artigiano,Food,113,Riley Park
restaurant,49.2500114440918,-123.1008071899414,French Table Bistro,Food,114,Riley Park
restaurant,49.280208587646484,-123.0999755859375,Golden Garden Vietnamese Cuisine,Food,115,Central Business District
restaurant,49.249874114990234,-123.10078430175781,Old Bird,Food,116,Riley Park
restaurant,49.279754638671875,-123.09993743896484,Virtuous Pie,Food,117,Central Business District
cafe,49.27962112426758,-123.09993743896484,Starbucks,Food,118,Central Business District
fast_food,49.22622299194336,-123.12876892089844,Tim Hortons,Food,119,Oakridge
restaurant,49.24521255493164,-123.10150909423828,East is East - Main St,Food,120,Riley Park
cafe,49.23275375366211,-123.1172866821289,Blenz,Food,121,Oakridge
bicycle_rental,49.279632568359375,-123.11500549316406,Hamilton & Robson,Transportation,122,Central Business District
restaurant,49.28903579711914,-123.13201904296875,Liuyishou Hotpot Robson,Food,123,West End
cafe,49.27922439575195,-123.11682891845703,Gong Cha,Food,124,Central Business District
bicycle_rental,49.28415298461914,-123.09996032714844,Alexander & Main,Transportation,125,Central Business District
restaurant,49.27662658691406,-123.10010528564453,Pizza Farina,Food,126,Central Business District
restaurant,49.274322509765625,-123.12694549560547,Kaide Sushi Bar,Food,127,Central Business District
bicycle_rental,49.262271881103516,-123.12615966796875,Oak & 10th,Transportation,128,Fairview
bicycle_rental,49.25675964355469,-123.12002563476562,Heather & 16th,Transportation,129,South Cambie
bicycle_rental,49.26176834106445,-123.1314926147461,Alder & 11th,Transportation,130,Fairview
restaurant,49.29093551635742,-123.13604736328125,Sushiholic,Food,131,West End
place_of_worship,49.26585388183594,-123.21145629882812,Allan Kardec Vancouver Society,Attraction,132,West Point Grey
restaurant,49.281272888183594,-123.0472412109375,Le Petit Saigon,Food,133,Hastings-Sunrise
fast_food,49.27252960205078,-123.05620574951172,Panago Pizza,Food,134,Hastings-Sunrise
bureau_de_change,49.281227111816406,-123.12037658691406,Charlie's currency exchange,Business,135,Central Business District
restaurant,49.26873779296875,-123.04573059082031,Fuku Ramen,Food,136,Hastings-Sunrise
restaurant,49.28271484375,-123.10480499267578,Tacofino,Food,137,Central Business District
nightclub,49.275390625,-123.1096420288086,Privé,Nightlife,138,Central Business District
restaurant,49.281307220458984,-123.10797119140625,Mirai Sushi,Food,139,Central Business District
bicycle_rental,49.273643493652344,-123.12705993652344,Pacific & Richards,Transportation,140,Central Business District
bicycle_rental,49.26528549194336,-123.13819885253906,7th & Granville,Transportation,141,Fairview
bicycle_rental,49.256832122802734,-123.10527801513672,Ontario & 16th,Transportation,142,Mount Pleasant
bicycle_rental,49.27021026611328,-123.10515594482422,1st & Ontario,Transportation,143,Mount Pleasant
bicycle_rental,49.258399963378906,-123.1008071899414,14th & Main,Transportation,144,Mount Pleasant
bicycle_rental,49.27021026611328,-123.109130859375,1st & Columbia,Transportation,145,Mount Pleasant
restaurant,49.2640380859375,-123.18009948730469,Green Leaf Sushi,Food,146,Kitsilano
bicycle_rental,49.28579330444336,-123.12096405029297,Burrard Station,Transportation,147,Central Business District
bicycle_rental,49.2780647277832,-123.13050842285156,Burrard & Drake,Transportation,148,Central Business District
bicycle_rental,49.28061294555664,-123.1247787475586,Horny & Nelson,Transportation,149,Central Business District
bicycle_rental,49.280296325683594,-123.1352767944336,Harwood & Bute,Transportation,150,West End
bicycle_rental,49.28029251098633,-123.11769104003906,Richards & Robson,Transportation,151,Central Business District
bicycle_rental,49.2799186706543,-123.12744903564453,Helmcken & Burrard,Transportation,152,Central Business District
bicycle_rental,49.27970886230469,-123.1100845336914,Dunsmuir & Beatty,Transportation,153,Central Business District
bicycle_rental,49.2852897644043,-123.13436126708984,Comox & Broughton,Transportation,154,West End
bicycle_rental,49.28969955444336,-123.14400482177734,Chilco & Beach,Transportation,155,West End
bicycle_rental,49.28746795654297,-123.14207458496094,Davie & Beach,Transportation,156,West End
bicycle_rental,49.28586959838867,-123.12725830078125,Bute & Robson,Transportation,157,West End
bicycle_rental,49.288028717041016,-123.14218139648438,Morton & Denman,Transportation,158,West End
bicycle_rental,49.288516998291016,-123.13933563232422,Comox & Denman,Transportation,159,West End
bus_station,49.2092170715332,-123.11612701416016,Marine Drive Station,Transportation,160,Marpole
fast_food,49.25678253173828,-123.1849136352539,Dairy Queen,Food,161,Dunbar-Southlands
restaurant,49.22542190551758,-123.0655288696289,Victoria Restaurant,Food,162,Victoria-Fraserview
restaurant,49.288002014160156,-123.1403579711914,Rio Brazilian Steakhouse,Food,163,West End
restaurant,49.28902816772461,-123.1313247680664,Cinch Grill Italian,Food,164,West End
fast_food,49.290889739990234,-123.13426971435547,Subway,Food,165,West End
fast_food,49.20819091796875,-123.14013671875,Freshslice,Food,166,Marpole
fast_food,49.20823669433594,-123.14012908935547,Donair Spot,Food,167,Marpole
bicycle_rental,49.26123046875,-123.0737533569336,Woodland & 10th,Transportation,168,Kensington-Cedar Cottage
restaurant,49.22574996948242,-123.0659408569336,Pho Thai Son Restaurant,Food,169,Victoria-Fraserview
restaurant,49.225868225097656,-123.06614685058594,On May Chinese Restaurant,Food,170,Victoria-Fraserview
restaurant,49.23185729980469,-123.06539154052734,Kim Phung Restaurant,Food,171,Victoria-Fraserview
fast_food,49.231204986572266,-123.0657730102539,Freshslice Pizza,Food,172,Victoria-Fraserview
restaurant,49.23207092285156,-123.06575012207031,MK Chop Chop BBQ House,Food,173,Victoria-Fraserview
restaurant,49.231998443603516,-123.06574249267578,Shun Fa Noodle House,Food,174,Victoria-Fraserview
restaurant,49.233524322509766,-123.06531524658203,Happy Sushi,Food,175,Kensington-Cedar Cottage
restaurant,49.234596252441406,-123.065673828125,Pho Hue,Food,176,Kensington-Cedar Cottage
restaurant,49.235355377197266,-123.0656509399414,Banh Mi Saigon,Food,177,Kensington-Cedar Cottage
restaurant,49.237648010253906,-123.06558227539062,La Maison Da Nang,Food,178,Kensington-Cedar Cottage
restaurant,49.238563537597656,-123.06556701660156,Bun Cha Ca Hoang Yen,Food,179,Kensington-Cedar Cottage
restaurant,49.2385368347168,-123.06519317626953,Chau Veggie Express,Food,180,Kensington-Cedar Cottage
restaurant,49.2386589050293,-123.06555938720703,Kozak Ukraїnian Eatery,Food,181,Kensington-Cedar Cottage
restaurant,49.24299621582031,-123.06019592285156,17°C Dessert Café,Food,182,Kensington-Cedar Cottage
restaurant,49.24306869506836,-123.06036376953125,Kings Cafe,Food,183,Kensington-Cedar Cottage
restaurant,49.242637634277344,-123.05921936035156,Pho Hoa Noodle Soup,Food,184,Kensington-Cedar Cottage
bicycle_rental,49.287132263183594,-123.11861419677734,Pender & Burrard,Transportation,185,Central Business District
university,49.28447723388672,-123.11235046386719,Simon Fraser University - Vancouver Campus,Attraction,186,Central Business District
restaurant,49.24581527709961,-123.09001159667969,Masayoshi,Food,187,Kensington-Cedar Cottage
restaurant,49.2467155456543,-123.10100555419922,Meet on Main,Food,188,Riley Park
restaurant,49.28324508666992,-123.10484313964844,Meet in Gastown,Food,189,Central Business District
restaurant,49.25135040283203,-123.1011962890625,Bob Likes Thai Food,Food,190,Riley Park
restaurant,49.25078201293945,-123.1011734008789,The Fish Counter,Food,191,Riley Park
cinema,49.28260803222656,-123.10807800292969,Goldcorp Centre for the Arts,Leisure,192,Central Business District
theatre,49.279991149902344,-123.116455078125,The Centre For Performing Arts,Attraction,193,Central Business District
restaurant,49.231388092041016,-123.06576538085938,Mui Garden,Food,194,Victoria-Fraserview
fast_food,49.26303482055664,-123.10130310058594,Freshslice Pizza,Food,195,Mount Pleasant
restaurant,49.26304244995117,-123.1015396118164,Fable Diner,Food,196,Mount Pleasant
restaurant,49.28146743774414,-123.11724090576172,Glowbal,Food,197,Central Business District
fast_food,49.20812225341797,-123.14078521728516,McDonald's,Food,198,Marpole
fast_food,49.26588439941406,-123.02427673339844,McDonald's,Food,199,Hastings-Sunrise
fast_food,49.246795654296875,-123.0682373046875,Subway,Food,200,Kensington-Cedar Cottage
bank,49.25007629394531,-123.0754165649414,CIBC,Business,201,Kensington-Cedar Cottage
bank,49.243186950683594,-123.06147003173828,Scotiabank,Business,202,Kensington-Cedar Cottage
bank,49.2343864440918,-123.03592681884766,CIBC,Business,203,Renfrew-Collingwood
fast_food,49.233089447021484,-123.06572723388672,McDonald's,Food,204,Kensington-Cedar Cottage
fast_food,49.23310089111328,-123.0659408569336,Kent's Kitchen,Food,205,Kensington-Cedar Cottage
atm,49.23310089111328,-123.06616973876953,CIBC,Business,206,Kensington-Cedar Cottage
bank,49.23249435424805,-123.06523895263672,BMO,Business,207,Victoria-Fraserview
fast_food,49.217918395996094,-123.07666015625,Hometown Pizza,Food,208,Victoria-Fraserview
fast_food,49.22568893432617,-123.07772064208984,Papa Dave's Pizza Indian Cuisine,Food,209,Sunset
fast_food,49.218257904052734,-123.07738494873047,McDonald's,Food,210,Sunset
pub,49.232913970947266,-123.07611846923828,East Side Craft House,Nightlife,211,Kensington-Cedar Cottage
fast_food,49.22561264038086,-123.07772064208984,KFC,Food,212,Sunset
clock,49.284385681152344,-123.10888671875,Gastown Steam Clock,Attraction,213,Central Business District
restaurant,49.28423309326172,-123.1090316772461,Water Street Cafe,Food,214,Central Business District
restaurant,49.2635383605957,-123.127197265625,Minato Japanese Restaurant,Food,215,Fairview
fast_food,49.263389587402344,-123.11608123779297,McDonald's,Food,216,Fairview
bank,49.26352310180664,-123.12248992919922,TD Canada Trust,Business,217,Fairview
restaurant,49.26350784301758,-123.1249008178711,Saravanaa Bhavan (South Indian),Food,218,Fairview
restaurant,49.263423919677734,-123.1173095703125,Cactus Club Cafe,Food,219,Fairview
cafe,49.263519287109375,-123.12313079833984,Tim Hortons,Food,220,Fairview
cafe,49.263206481933594,-123.10704803466797,Starbucks,Food,221,Mount Pleasant
restaurant,49.26364517211914,-123.1316909790039,Royal Seoul House,Food,222,Fairview
restaurant,49.26333236694336,-123.11308288574219,Menya Raizo,Food,223,Mount Pleasant
fast_food,49.26327896118164,-123.1106185913086,Fatburger,Food,224,Mount Pleasant
bank,49.26341247558594,-123.11823272705078,HSBC,Business,225,Fairview
fast_food,49.263336181640625,-123.1136245727539,Subway,Food,226,Mount Pleasant
fast_food,49.26348876953125,-123.12152099609375,A&W,Food,227,Fairview
restaurant,49.237037658691406,-123.06564331054688,Sandy La Chinese Restaurant,Food,228,Kensington-Cedar Cottage
cafe,49.2673454284668,-123.11299133300781,Starbucks,Food,229,Mount Pleasant
fast_food,49.239070892333984,-123.06500244140625,Dairy Queen,Food,230,Kensington-Cedar Cottage
ice_cream,49.27692794799805,-123.08155822753906,La Casa Gelato,Food,231,Strathcona
restaurant,49.241268157958984,-123.10164642333984,Au Petit Café,Food,232,Riley Park
ferry_terminal,49.28701400756836,-123.10902404785156,Waterfront,Transportation,233,Central Business District
ferry_terminal,49.30953598022461,-123.0838851928711,Lonsdale Quay,Transportation,234,Strathcona
restaurant,49.291385650634766,-123.13501739501953,Banana Leaf,Food,235,West End
restaurant,49.290771484375,-123.13407897949219,Dinesty Dumpling House,Food,236,West End
fast_food,49.29062271118164,-123.13385009765625,McDonald's,Food,237,West End
restaurant,49.28998565673828,-123.13349151611328,Sushi Itoga,Food,238,West End
restaurant,49.262325286865234,-123.0886459350586,Nha Trang Restaurant,Food,239,Mount Pleasant
restaurant,49.2862663269043,-123.1276626586914,Momo Sushi,Food,240,West End
restaurant,49.26078796386719,-123.1008071899414,Mali Thai Food,Food,241,Mount Pleasant
cafe,49.23522186279297,-123.11571502685547,Starbucks,Food,242,Riley Park
bank,49.2347526550293,-123.15789031982422,Scotiabank,Business,243,Arbutus Ridge
conference_centre,49.288330078125,-123.1125717163086,Vancouver Convention Centre East,Business,244,Central Business District
restaurant,49.28445816040039,-123.0656967163086,Scan-Delicious,Food,245,Grandview-Woodland
bank,49.24666213989258,-123.06877136230469,Moneymart,Business,246,Kensington-Cedar Cottage
restaurant,49.23442840576172,-123.03607177734375,Chef Pin,Food,247,Renfrew-Collingwood
restaurant,49.2623291015625,-123.08984375,Klasik Inasal,Food,248,Mount Pleasant
restaurant,49.29167556762695,-123.13489532470703,Rad on Denman,Food,249,West End
fast_food,49.279884338378906,-123.10680389404297,Canra Plus,Food,250,Central Business District
fast_food,49.27998352050781,-123.1065673828125,Ryo,Food,251,Central Business District
fast_food,49.280052185058594,-123.1064682006836,India’s Flavour,Food,252,Central Business District
fast_food,49.280094146728516,-123.10643005371094,Kazoku,Food,253,Central Business District
fast_food,49.2808952331543,-123.10731506347656,McDonald's,Food,254,Central Business District
restaurant,49.28080368041992,-123.10745239257812,Goldies,Food,255,Central Business District
cafe,49.28081130981445,-123.10701751708984,Caveman Cafe,Food,256,Central Business District
bureau_de_change,49.28021240234375,-123.10710906982422,Mtt Centre,Business,257,Central Business District
bar,49.280208587646484,-123.10684967041016,Shiny Tea,Nightlife,258,Central Business District
fast_food,49.27992630004883,-123.10668182373047,Taco Time,Food,259,Central Business District
restaurant,49.28013229370117,-123.10639953613281,Abdul's Bbq,Food,260,Central Business District
fast_food,49.279903411865234,-123.10673522949219,Bubble King,Food,261,Central Business District
fast_food,49.27995681762695,-123.10662078857422,Tina,Food,262,Central Business District
fast_food,49.2800178527832,-123.10652160644531,Thai Town,Food,263,Central Business District
fast_food,49.280174255371094,-123.10636138916016,Wow Thai Food,Food,264,Central Business District
fast_food,49.28021240234375,-123.10633087158203,Bali Thai,Food,265,Central Business District
fast_food,49.28025817871094,-123.1063003540039,Giant Panda,Food,266,Central Business District
restaurant,49.23097229003906,-123.06536865234375,Lucky Dragon Palace Restaurant,Food,267,Victoria-Fraserview
restaurant,49.27108383178711,-123.15531158447266,Cafe Zen,Food,268,Kitsilano
restaurant,49.26918411254883,-123.06942749023438,Federico's Supper Club,Food,269,Grandview-Woodland
bar,49.27775955200195,-123.07604217529297,Off The Rail Tasting Room,Nightlife,270,Grandview-Woodland
bar,49.27747344970703,-123.07451629638672,Bomber Tasting Room,Nightlife,271,Grandview-Woodland
bicycle_rental,49.27354049682617,-123.12985229492188,Beach & Seymour,Transportation,272,Central Business District
bicycle_rental,49.2932014465332,-123.13861083984375,Chilco & Robson,Transportation,273,West End
car_sharing,49.285213470458984,-123.11128997802734,Zipcar,Transportation,274,Central Business District
bicycle_rental,49.284629821777344,-123.10861206054688,Cambie & Water,Transportation,275,Central Business District
bicycle_rental,49.291847229003906,-123.14078521728516,Chilco & Barclay,Transportation,276,West End
bicycle_rental,49.259159088134766,-123.14825439453125,Cypress & 14th,Transportation,277,Kitsilano
bicycle_rental,49.2576904296875,-123.15326690673828,Arbutus & 16th,Transportation,278,Kitsilano
bicycle_rental,49.263816833496094,-123.10528564453125,8th & Ontario,Transportation,279,Mount Pleasant
bar,49.27333450317383,-123.11952209472656,The Wine Bar,Nightlife,280,Central Business District
restaurant,49.2830924987793,-123.13563537597656,Kinara,Food,281,West End
restaurant,49.28695297241211,-123.14108276367188,The Park at English Bay,Food,282,West End
fast_food,49.28644943237305,-123.14032745361328,Yummy to Go,Food,283,West End
restaurant,49.2866096496582,-123.14058685302734,Grotto,Food,284,West End
cafe,49.286556243896484,-123.14100646972656,Tim Hortons,Food,285,West End
bicycle_rental,49.27445983886719,-123.12171936035156,Yaletown-Roundhouse Station,Transportation,286,Central Business District
theatre,49.27858352661133,-123.07060241699219,York Theatre,Attraction,287,Grandview-Woodland
theatre,49.270137786865234,-123.10873413085938,BMO Theatre Centre,Attraction,288,Mount Pleasant
theatre,49.22493362426758,-123.10868835449219,Studio 58,Attraction,289,Oakridge
theatre,49.203712463378906,-123.13751983642578,Metro Theatre,Attraction,290,Marpole
theatre,49.29119110107422,-123.13016510009766,PAL Studio Theatre,Attraction,291,Central Business District
bicycle_rental,49.279300689697266,-123.10176849365234,Keefer & Columbia,Transportation,292,Central Business District
bicycle_rental,49.26259231567383,-123.13887786865234,10th & Granville,Transportation,293,Fairview
bicycle_rental,49.2622184753418,-123.10931396484375,10th & Columbia,Transportation,294,Mount Pleasant
fast_food,49.27263259887695,-123.13536834716797,Fraser Valley Juice,Food,295,Fairview
fast_food,49.27265930175781,-123.13531494140625,Pizza Pzazz,Food,296,Fairview
pub,49.28493881225586,-123.0649642944336,Princeton Pub,Nightlife,297,Grandview-Woodland
fast_food,49.282127380371094,-123.11646270751953,Bay Sushi Cafe,Food,298,Central Business District
fast_food,49.2820930480957,-123.11650085449219,Kung Fu Noodle,Food,299,Central Business District
fast_food,49.282615661621094,-123.11511993408203,Pokérrito,Food,300,Central Business District
fast_food,49.28270721435547,-123.11475372314453,Dae Ji,Food,301,Central Business District
fast_food,49.28261184692383,-123.1146240234375,Sushi Home,Food,302,Central Business District
fast_food,49.28256607055664,-123.11455535888672,Big Bowl Rice,Food,303,Central Business District
pub,49.28413009643555,-123.10838317871094,Pourhouse,Nightlife,304,Central Business District
bicycle_rental,49.273521423339844,-123.11783599853516,Marinaside & Davie,Transportation,305,Central Business District
bicycle_rental,49.285274505615234,-123.14178466796875,Bidwell & Beach,Transportation,306,West End
bicycle_rental,49.27275466918945,-123.14772033691406,Cypress & Cornwall,Transportation,307,Kitsilano
bicycle_rental,49.258968353271484,-123.13935089111328,14th & Granville,Transportation,308,Fairview
bicycle_rental,49.266666412353516,-123.11243438720703,5th & Yukon,Transportation,309,Mount Pleasant
bicycle_rental,49.27711486816406,-123.12252044677734,Richards & Helmcken,Transportation,310,Central Business District
bar,49.27568817138672,-123.12811279296875,Cecil Bar,Nightlife,311,Central Business District
restaurant,49.291568756103516,-123.12751770019531,Cardero's,Food,312,Central Business District
restaurant,49.283935546875,-123.12235260009766,Shabusen,Food,313,West End
restaurant,49.27423095703125,-123.12393188476562,House Special,Food,314,Central Business District
restaurant,49.274723052978516,-123.1227035522461,La Pentala,Food,315,Central Business District
restaurant,49.27455520629883,-123.12328338623047,Kuma,Food,316,Central Business District
restaurant,49.27442169189453,-123.12357330322266,Saigon Xua,Food,317,Central Business District
